grade,class,assignment,prepost,paragraph_count,sentence_count,word_count,num_problem_spaces,num_misspelt,num_grammar_problems,dale_chall_readability_score,smog_index,flesch_reading_ease,flesch_kincaid_grade,linsear_write_formula,coleman_liau_index,automated_readability_index,yule_vocab_richness,total_score,nouns,pronouns,verbs,adjectives,adverbs,conjunctions,particles,pronouns,prepositions,others,simpson,fisher,brillouin,berger_parker,percent_active,ave_sent_length,sd_sent_length,percent_short,percent_long,trans_count,trans_diversity
80,hyogenB_2019,narrative_essay,post,4,39,411,2,3,5,5.85,9.2,6.69,76.11,5.6,6.125,6.19,5,9.650903614,6,2,20,0,1,6,5,0,5,0,0.496137339,1.616920936,1.005450616,0.588235294,0.743589744,10.53846154,5.62433428,0.025641026,0,50,10
80,hyogenD_2019,narrative_essay,pre,5,48,420,3,22,24,5.57,8.9,6.13,76.01,5.7,6.625,6.31,5.5,14.27920709,6,9,19,0,1,4,4,0,7,4,0.576421053,1.558333873,1.103589003,0.513513514,0.8125,8.75,5.068283733,0.020833333,0,38,5
80,hyogenD_2019,narrative_essay,pre,13,46,424,1,32,27,5.69,8.8,6.15,76.72,5.4,6.375,6.71,5.8,16.11231394,6,11,21,0,2,3,2,0,8,0,0.525388601,1.524186687,1.04028871,0.538461538,0.723404255,9.021276596,5.883584671,0.021276596,0,39,7
80,hyogenD_2019,narrative_essay,pre,8,36,417,2,3,7,5.86,8.7,6.93,74.69,6.2,5.444444444,6.08,5.4,6.06305578,6,2,18,0,1,5,2,0,6,0,0.437988827,1.772198709,0.904303994,0.642857143,0.676470588,12.26470588,4.864691657,0.029411765,0,63,11
80,hyogenD_2019,narrative_essay,pre,6,34,414,1,3,12,5.49,7,6.55,90.9,4.1,5.625,5.56,5.3,10.85894942,6,12,8,0,1,1,6,0,6,0,0.637398374,1.772198709,1.097095519,0.428571429,0.647058824,12.17647059,5.485116698,0.029411765,0,45,8
80,hyogenD_2019,narrative_essay,pre,4,42,414,0,4,10,5.69,7.1,5.6,86.1,3.9,5.333333333,5.32,3.8,16.85505319,6,1,26,0,3,4,1,0,7,0,0.348506401,1.596288718,0.740133158,0.742857143,0.80952381,9.857142857,5.203347954,0.023809524,0,55,10
80,hyogenD_2019,narrative_essay,pre,5,49,428,1,3,23,5.66,7.6,5.94,83.96,4.7,8.5,4.86,4.6,13.06626074,5,2,28,1,1,1,6,0,10,0,0.306529625,1.980300809,0.806913301,0.717948718,0.857142857,8.734693878,4.284645153,0.020408163,0,49,9
80,hyogenD_2019,narrative_essay,post,12,62,491,2,14,19,5.33,7,4.56,87.42,3.4,4.4,5.25,4.1,10.3992278,5,10,32,0,4,7,5,0,5,0,0.554200988,1.311868796,1.160400215,0.551724138,0.952380952,7.793650794,4.310042648,0.015873016,0,73,12
80,hyogenD_2019,narrative_essay,post,4,45,415,1,5,9,5.16,8.1,5.81,84.57,4.5,5.222222222,5.26,4.4,9.920015308,5,1,28,1,4,4,3,0,5,0,0.338774688,1.936078477,0.926746378,0.682926829,0.847826087,9.02173913,4.878921524,0.02173913,0,51,12
80,hyogenD_2019,narrative_essay,post,4,47,416,7,11,19,5.51,7.7,6.16,85.89,4,5.111111111,3.63,2.9,10.4907489,6,1,28,0,2,3,6,0,3,4,0.383693046,1.508351429,0.834168468,0.7,0.893617021,8.85106383,5.311483839,0.021276596,0,60,11
80,hyogenD_2019,narrative_essay,post,5,48,420,3,22,24,5.57,8.9,6.13,76.01,5.7,6.625,6.31,5.5,14.27920709,6,9,19,0,1,4,4,0,7,4,0.576421053,1.558333873,1.103589003,0.513513514,0.8125,8.75,5.068283733,0.020833333,0,38,5
80,hyogenD_2019,narrative_essay,post,5,49,428,1,3,23,5.66,7.6,5.94,83.96,4.7,8.5,4.86,4.6,13.06626074,5,2,28,1,1,1,6,0,10,0,0.306529625,1.980300809,0.806913301,0.717948718,0.857142857,8.734693878,4.284645153,0.020408163,0,49,9
81,hyogenACE_2019,argumentative_essay,pre,9,21,320,0,4,3,6.26,9.7,9.5,68.1,8.7,7.142857143,8.07,9.9,14.04424779,10,3,5,0,2,3,1,0,7,0,0.816666667,2.78237954,1.151933094,0.357142857,0.619047619,15.23809524,7.276215408,0.047619048,0.047619048,44,8
81,hyogenACE_2019,process_essay,pre,11,44,434,0,4,3,6.21,8.6,6.84,83.96,4.7,4.5,7.82,6.7,7.59202454,7,11,16,2,1,1,0,0,13,0,0.501827676,1.686845582,0.942738981,0.516129032,0.636363636,9.863636364,6.225281699,0.022727273,0,33,5
81,hyogenACE_2019,descriptive_essay,pre,4,16,212,1,11,9,6.39,9.8,7.93,75,6.1,7.714285714,7.58,6.7,23.91290824,8,2,10,0,0,1,1,0,2,0,0.462264151,1.87081181,0.670975816,0.714285714,0.75,13.25,7.022285953,0.0625,0,25,5
81,hyogenACE_2019,descriptive_essay,pre,8,17,215,0,2,1,5.78,8.4,8.1,80.11,6.2,5.666666667,6.26,7,15.20451527,6,1,14,0,0,0,2,0,0,0,0.479270315,1.057068365,0.44827677,0.823529412,0.647058824,12.64705882,7.44344304,0.058823529,0.058823529,26,6
81,hyogenACE_2019,descriptive_essay,pre,9,19,343,0,9,8,6.53,10.8,11.28,73.92,8.6,8.5,8.36,11,7.853927813,9,1,11,0,0,3,1,0,3,0,0.484848485,1.711842928,0.711112049,0.6875,0.789473684,18.05263158,6.977208643,0.052631579,0,41,4
81,hyogenACE_2019,descriptive_essay,pre,10,14,219,0,3,4,7.16,13.6,13.6,52.43,12.7,8,10.62,15.2,17.59276018,14,1,10,0,1,2,0,0,0,0,0.462264151,1.87081181,0.670975816,0.714285714,0.571428571,15.64285714,4.965698668,0.071428571,0,34,5
81,hyogenACE_2019,descriptive_essay,post,9,19,343,0,9,8,6.53,10.8,11.28,73.92,8.6,8.5,8.36,11,7.853927813,9,1,11,0,0,3,1,0,3,0,0.484848485,1.711842928,0.711112049,0.6875,0.789473684,18.05263158,6.977208643,0.052631579,0,41,4
81,hyogenACE_2019,narrative_essay,pre,7,22,363,1,10,4,6.17,8.8,9.49,76.76,7.5,11.4,6.67,8.7,11.47193437,9,0,12,1,1,7,0,0,2,0,0.565384615,1.465222077,0.803226812,0.571428571,0.739130435,15.7826087,8.075494448,0.043478261,0.043478261,45,8
81,hyogenACE_2019,narrative_essay,pre,7,42,514,3,13,17,5.8,8.3,6.8,83.46,4.9,6.125,5.9,5.6,17.32283465,6,2,19,0,2,5,4,0,10,0,0.499512195,1.66206113,1.027069854,0.59375,0.666666667,12.23809524,5.308616194,0.023809524,0,71,16
81,hyogenACE_2019,narrative_essay,pre,10,42,446,1,23,23,5.72,8.1,5.98,83.96,4.7,4.5,6.66,5.8,13.30442235,6,8,18,0,1,7,5,0,4,0,0.657019438,1.524186687,1.187668181,0.461538462,0.837209302,10.37209302,4.220786082,0.023255814,0,52,10
81,hyogenB_2019,narrative_essay,pre,8,42,419,2,39,31,5.73,8.1,6.03,75.3,6,4.4,7.7,6.8,15.72253521,6,14,9,0,2,5,9,0,2,1,0.786046512,1.524186687,1.291185774,0.358974359,0.761904762,9.976190476,4.125923246,0.023809524,0,45,8
81,hyogenB_2019,narrative_essay,pre,7,35,460,0,53,26,6.01,10.5,7.58,65.22,7.8,7.125,8.23,7.8,14.00871978,8,10,8,0,1,6,2,0,8,0,0.711219512,1.805093282,1.169486102,0.37037037,0.742857143,13.14285714,4.975039739,0.028571429,0,57,15
81,hyogenB_2019,narrative_essay,post,6,55,424,2,2,10,5.64,7,4.76,88.43,3,5,5.7,4,16.48532633,6,14,27,2,2,1,5,0,4,0,0.452033368,1.766260518,1.10758915,0.529411765,0.836363636,7.709090909,3.920448617,0.018181818,0,51,6
81,hyogenD_2019,narrative_essay,pre,7,42,562,1,8,26,5.6,8.1,6.91,82.54,5.2,8.166666667,7.47,7.1,13.09175648,6,11,25,0,2,3,0,0,2,0,0.553689065,1.096553111,0.879107123,0.609756098,0.813953488,13.06976744,5.74818616,0.023255814,0,53,6
81,hyogenACE_2019,summary_essay,pre,14,26,451,5,24,20,6.18,11,10.1,66.88,9.2,11.6,9.52,11.9,9.805767319,10,6,14,0,1,6,0,0,3,0,0.677509294,1.297815522,0.970659816,0.518518519,0.566666667,15.03333333,6.564974401,0.033333333,0,43,9
82,hyogenD_2019,analysis_essay,pre,3,23,317,1,3,3,6.17,11.6,8.02,66.03,7.5,7.857142857,9.62,8.4,12.51644941,8,3,8,0,3,4,0,0,6,0,0.826530612,1.594434505,1.057181641,0.444444444,0.833333333,13.20833333,6.757583189,0.041666667,0,42,10
82,hyogenACE_2019,argumentative_essay,pre,5,25,351,0,16,15,5.71,9.3,7.36,73.27,6.7,5.2,7.71,8,14.6482808,8,3,6,2,4,3,1,0,5,1,0.802222222,3.020163028,1.331890159,0.315789474,0.8,14.04,7.340190733,0.04,0,48,13
82,hyogenACE_2019,argumentative_essay,pre,9,32,313,0,4,9,5.38,8.8,6.25,76.82,5.4,4.8,9.26,7.5,7.87704918,5,4,8,0,4,7,0,0,9,0,0.912068966,1.399292559,1.135687115,0.347826087,0.84375,9.78125,3.772717646,0.03125,0,38,10
82,hyogenACE_2019,argumentative_essay,pre,10,19,316,3,2,9,6.49,9.5,9.72,70.02,8,5.222222222,9.22,10.3,20.09830508,10,2,8,0,3,4,0,0,4,0,0.77688172,1.649097015,1.01397118,0.470588235,0.761904762,15.04761905,10.15347086,0.047619048,0.047619048,41,6
82,hyogenACE_2019,process_essay,pre,7,34,444,0,7,10,5.93,9.6,8.04,72.66,7,4.6,8.81,8.5,10.06841716,9,5,16,1,1,3,2,0,6,0,0.441441441,2.342550645,1.069481594,0.571428571,0.735294118,13.05882353,6.140229812,0.029411765,0,61,14
82,hyogenACE_2019,process_essay,pre,8,21,431,2,4,8,7.03,11.4,12.6,63.12,10.6,14.25,8.3,12.2,10.86378148,11,2,8,0,1,5,1,0,4,0,0.608421053,2.387223706,1.024695978,0.470588235,0.523809524,20.47619048,16.03157316,0.047619048,0.047619048,55,10
82,hyogenACE_2019,process_essay,pre,7,30,484,2,5,11,5.77,9.1,8.45,69.72,8.1,8.333333333,9.05,10,6.339084426,9,1,3,1,1,9,1,0,14,0,0.453900709,3.486887572,1.004892072,0.5625,0.833333333,16.13333333,6.566243641,0.033333333,0,68,10
82,hyogenACE_2019,process_essay,pre,9,30,540,0,7,14,6.33,12.1,11.19,48.03,12.3,5.444444444,11.96,14.3,6.86286966,12,6,5,0,5,7,0,0,7,0,0.97962963,1.399292559,1.170751283,0.304347826,0.433333333,18,7.192588778,0.033333333,0.033333333,56,11
82,hyogenACE_2019,descriptive_essay,pre,6,27,293,0,6,10,6.33,9.4,7.55,75.5,5.9,6.625,7.47,6.4,18.0075,7,1,18,0,1,3,0,0,3,1,0.394776119,1.399292559,0.583455256,0.782608696,0.888888889,10.85185185,6.569873462,0.037037037,0,27,3
82,hyogenACE_2019,descriptive_essay,pre,7,19,240,0,5,6,6.49,10.1,8.81,73.27,6.7,8.5,8.17,8,30.69101979,9,2,7,0,0,4,1,0,5,0,0.7,1.87081181,0.913918486,0.5,0.842105263,12.63157895,5.859859225,0.052631579,0,27,4
82,hyogenACE_2019,descriptive_essay,pre,8,22,329,0,1,5,6.35,9.3,8.62,78.79,6.7,6.857142857,6.15,7.4,13.63636364,7,3,6,0,1,7,1,0,4,0,0.675,2.293238462,1.083292954,0.388888889,0.681818182,14.95454545,3.9940555,0.045454545,0,47,6
82,hyogenACE_2019,descriptive_essay,post,7,26,326,3,10,11,6.01,8.8,7.92,81.12,5.8,8,5.22,5.7,14.62145499,6,1,14,0,0,6,0,0,5,0,0.630901288,0.957773224,0.648079357,0.666666667,0.769230769,12.53846154,6.529405493,0.038461538,0,34,6
